year (AD) [1-1],age (yr BP) [1-1],d18O (permil) [1-1],depth (unitless) [1-2],age (yr BP) [1-2],d13C (permil) [1-2],d18O (permil) [1-2]
-91000,92950,-12.02,NA,NA,NA,NA
-91050,93000,-12.19,NA,NA,NA,NA
-91100,93050,-12.32,NA,NA,NA,NA
-91150,93100,-12.37,NA,NA,NA,NA
-91200,93150,-12.42,NA,NA,NA,NA
-91250,93200,-12.45,NA,NA,NA,NA
-91300,93250,-12.37,NA,NA,NA,NA
-91350,93300,-12.3,NA,NA,NA,NA
-91400,93350,-12.22,NA,NA,NA,NA
-91450,93400,-12.14,NA,NA,NA,NA
-91500,93450,-12.06,NA,NA,NA,NA
-91550,93500,-11.98,NA,NA,NA,NA
-91600,93550,-11.88,NA,NA,NA,NA
-91650,93600,-11.78,NA,NA,NA,NA
-91700,93650,-11.68,NA,NA,NA,NA
-91750,93700,-11.66,NA,NA,NA,NA
-91800,93750,-11.69,NA,NA,NA,NA
-91850,93800,-11.72,NA,NA,NA,NA
-91900,93850,-11.71,NA,NA,NA,NA
-91950,93900,-11.64,NA,NA,NA,NA
-92000,93950,-11.56,NA,NA,NA,NA
-92050,94000,-11.51,NA,NA,NA,NA
-92100,94050,-11.53,NA,NA,NA,NA
-92150,94100,-11.55,NA,NA,NA,NA
-92200,94150,-11.57,NA,NA,NA,NA
-92250,94200,-11.67,NA,NA,NA,NA
-92300,94250,-11.77,NA,NA,NA,NA
-92350,94300,-11.87,NA,NA,NA,NA
-92400,94350,-12,NA,NA,NA,NA
-92450,94400,-12.14,NA,NA,NA,NA
-92500,94450,-12.29,NA,NA,NA,NA
-92550,94500,-12.25,NA,NA,NA,NA
-92600,94550,-12.13,NA,NA,NA,NA
-92650,94600,-12,NA,NA,NA,NA
-92700,94650,-11.9,NA,NA,NA,NA
-92750,94700,-11.83,NA,NA,NA,NA
-92800,94750,-11.76,NA,NA,NA,NA
-92850,94800,-11.72,NA,NA,NA,NA
-92900,94850,-11.76,NA,NA,NA,NA
-92950,94900,-11.79,NA,NA,NA,NA
-93000,94950,-11.82,NA,NA,NA,NA
-93050,95000,-11.86,NA,NA,NA,NA
-93100,95050,-11.9,NA,NA,NA,NA
-93150,95100,-11.95,NA,NA,NA,NA
-93200,95150,-11.99,NA,NA,NA,NA
-93250,95200,-12.05,NA,NA,NA,NA
-93300,95250,-12.1,NA,NA,NA,NA
-93350,95300,-12.1,NA,NA,NA,NA
-93400,95350,-12.08,NA,NA,NA,NA
-93450,95400,-12.06,NA,NA,NA,NA
-93500,95450,-12.04,NA,NA,NA,NA
-93550,95500,-12.02,NA,NA,NA,NA
-93600,95550,-12,NA,NA,NA,NA
-93650,95600,-12,NA,NA,NA,NA
-93700,95650,-12.02,NA,NA,NA,NA
-93750,95700,-12.04,NA,NA,NA,NA
-93800,95750,-12.06,NA,NA,NA,NA
-93850,95800,-12.02,NA,NA,NA,NA
-93900,95850,-11.98,NA,NA,NA,NA
-93950,95900,-11.92,NA,NA,NA,NA
-94000,95950,-11.86,NA,NA,NA,NA
-94050,96000,-11.85,NA,NA,NA,NA
-94100,96050,-11.85,NA,NA,NA,NA
-94150,96100,-11.71,NA,NA,NA,NA
-94200,96150,-11.52,NA,NA,NA,NA
-94250,96200,-11.36,NA,NA,NA,NA
-94300,96250,-11.23,NA,NA,NA,NA
-94350,96300,-11.17,NA,NA,NA,NA
-94400,96350,-11.2,NA,NA,NA,NA
-94450,96400,-11.24,NA,NA,NA,NA
-94500,96450,-11.32,NA,NA,NA,NA
-94550,96500,-11.37,NA,NA,NA,NA
-94600,96550,-11.29,NA,NA,NA,NA
-94650,96600,-11.2,NA,NA,NA,NA
-94700,96650,-11.21,NA,NA,NA,NA
-94750,96700,-11.22,NA,NA,NA,NA
-94800,96750,-11.29,NA,NA,NA,NA
-94850,96800,-11.38,NA,NA,NA,NA
-94900,96850,-11.33,NA,NA,NA,NA
-94950,96900,-11.21,NA,NA,NA,NA
-95000,96950,-11.23,NA,NA,NA,NA
-95050,97000,-11.36,NA,NA,NA,NA
-95100,97050,-11.45,NA,NA,NA,NA
-95150,97100,-11.47,NA,NA,NA,NA
-95200,97150,-11.5,NA,NA,NA,NA
-95250,97200,-11.55,NA,NA,NA,NA
-95300,97250,-11.58,NA,NA,NA,NA
-95350,97300,-11.56,NA,NA,NA,NA
-95400,97350,-11.54,NA,NA,NA,NA
-95450,97400,-11.78,NA,NA,NA,NA
-95500,97450,-12.04,NA,NA,NA,NA
-95550,97500,-11.94,NA,NA,NA,NA
-95600,97550,-11.76,NA,NA,NA,NA
-95650,97600,-11.74,NA,NA,NA,NA
-95700,97650,-11.81,NA,NA,NA,NA
-95750,97700,-11.91,NA,NA,NA,NA
-95800,97750,-12.03,NA,NA,NA,NA
-95850,97800,-12.15,NA,NA,NA,NA
-95900,97850,-12.27,NA,NA,NA,NA
-95950,97900,-12.28,NA,NA,NA,NA
-96000,97950,-11.89,NA,NA,NA,NA
-96050,98000,-11.54,NA,NA,NA,NA
-96100,98050,-11.61,NA,NA,NA,NA
-96150,98100,-11.68,NA,NA,NA,NA
-96200,98150,-11.69,NA,NA,NA,NA
-96250,98200,-11.7,NA,NA,NA,NA
-96300,98250,-11.44,NA,NA,NA,NA
-96350,98300,-11.12,NA,NA,NA,NA
-96400,98350,-11.01,NA,NA,NA,NA
-96450,98400,-11.02,NA,NA,NA,NA
-96500,98450,-11.01,NA,NA,NA,NA
-96550,98500,-10.97,NA,NA,NA,NA
-96600,98550,-10.94,NA,NA,NA,NA
-96650,98600,-10.96,NA,NA,NA,NA
-96700,98650,-11,NA,NA,NA,NA
-96750,98700,-11.14,NA,NA,NA,NA
-96800,98750,-11.24,NA,NA,NA,NA
-96850,98800,-11.01,NA,NA,NA,NA
-96900,98850,-11.05,NA,NA,NA,NA
-96950,98900,-11.29,NA,NA,NA,NA
-97000,98950,-11.45,NA,NA,NA,NA
-97050,99000,-11.16,NA,NA,NA,NA
-97100,99050,-11.03,NA,NA,NA,NA
-97150,99100,-11.21,NA,NA,NA,NA
-97200,99150,-11.7,NA,NA,NA,NA
-97250,99200,-11.36,NA,NA,NA,NA
-97300,99250,-11.14,NA,NA,NA,NA
-97350,99300,-11.32,NA,NA,NA,NA
-97400,99350,-11.32,NA,NA,NA,NA
-97450,99400,-11.09,NA,NA,NA,NA
-97500,99450,-10.95,NA,NA,NA,NA
-97550,99500,-10.94,NA,NA,NA,NA
-97600,99550,-10.77,NA,NA,NA,NA
-97650,99600,-10.89,NA,NA,NA,NA
-97700,99650,-10.89,NA,NA,NA,NA
-97750,99700,-10.78,NA,NA,NA,NA
-97800,99750,-10.96,NA,NA,NA,NA
-97850,99800,-11.01,NA,NA,NA,NA
-97900,99850,-11.07,NA,NA,NA,NA
-97950,99900,-11.21,NA,NA,NA,NA
-98000,99950,-11,NA,NA,NA,NA
-98050,100000,-10.84,NA,NA,NA,NA
-98100,100050,-10.99,NA,NA,NA,NA
-98150,100100,-10.76,NA,NA,NA,NA
-98200,100150,-10.51,NA,NA,NA,NA
-98250,100200,-10.65,NA,NA,NA,NA
-98300,100250,-10.94,NA,NA,NA,NA
-98350,100300,-11.1,NA,NA,NA,NA
-98400,100350,-10.85,NA,NA,NA,NA
-98450,100400,-10.6,NA,NA,NA,NA
-98500,100450,-10.49,NA,NA,NA,NA
-98550,100500,-10.48,NA,NA,NA,NA
-98600,100550,-10.56,NA,NA,NA,NA
-98650,100600,-10.58,NA,NA,NA,NA
-98700,100650,-10.81,NA,NA,NA,NA
-98750,100700,-10.94,NA,NA,NA,NA
-98800,100750,-10.9,NA,NA,NA,NA
-98850,100800,-11.17,NA,NA,NA,NA
-98900,100850,-10.97,NA,NA,NA,NA
-98950,100900,-10.89,NA,NA,NA,NA
-99000,100950,-10.92,NA,NA,NA,NA
-99050,101000,-11.12,NA,NA,NA,NA
-99100,101050,-11.27,NA,NA,NA,NA
-99150,101100,-10.96,NA,NA,NA,NA
-99200,101150,-10.95,NA,NA,NA,NA
-99250,101200,-10.66,NA,NA,NA,NA
-99300,101250,-10.74,NA,NA,NA,NA
-99350,101300,-10.72,NA,NA,NA,NA
-99400,101350,-10.54,NA,NA,NA,NA
-99450,101400,-10.45,NA,NA,NA,NA
-99500,101450,-10.32,NA,NA,NA,NA
-99550,101500,-10.06,NA,NA,NA,NA
-99600,101550,-9.87,NA,NA,NA,NA
-99650,101600,-10.18,NA,NA,NA,NA
-99700,101650,-10.48,NA,NA,NA,NA
-99750,101700,-10.7,NA,NA,NA,NA
-99800,101750,-10.63,NA,NA,NA,NA
-99850,101800,-10.93,NA,NA,NA,NA
-99900,101850,-11.15,NA,NA,NA,NA
-99950,101900,-11.07,NA,NA,NA,NA
-100000,101950,-10.71,NA,NA,NA,NA
-100050,102000,-10.78,NA,NA,NA,NA
-100100,102050,-10.69,NA,NA,NA,NA
-100150,102100,-10.2,NA,NA,NA,NA
-100200,102150,-9.96,NA,NA,NA,NA
-100250,102200,-10.24,NA,NA,NA,NA
-100300,102250,-11.24,NA,NA,NA,NA
-100350,102300,-11.96,NA,NA,NA,NA
-100400,102350,-11.93,NA,NA,NA,NA
-100450,102400,-11.83,NA,NA,NA,NA
-100500,102450,-11.9,NA,NA,NA,NA
-100550,102500,-11.47,NA,NA,NA,NA
-100600,102550,-11.53,NA,NA,NA,NA
-100650,102600,-11.39,NA,NA,NA,NA
-100700,102650,-11.72,NA,NA,NA,NA
-100750,102700,-12.19,NA,NA,NA,NA
-100800,102750,-12.42,NA,NA,NA,NA
-100850,102800,-12.28,NA,NA,NA,NA
-100900,102850,-11.93,NA,NA,NA,NA
-100950,102900,-11.84,NA,NA,NA,NA
-101000,102950,-12.01,NA,NA,NA,NA
-101050,103000,-12.12,NA,NA,NA,NA
-101100,103050,-11.77,NA,NA,NA,NA
-101150,103100,-12.07,NA,NA,NA,NA
-101200,103150,-11.66,NA,NA,NA,NA
-101250,103200,-11.63,NA,NA,NA,NA
-101300,103250,-11.66,NA,NA,NA,NA
-101350,103300,-11.86,NA,NA,NA,NA
-101400,103350,-11.7,NA,NA,NA,NA
-101450,103400,-11.75,NA,NA,NA,NA
-101500,103450,-11.73,NA,NA,NA,NA
-101550,103500,-11.57,NA,NA,NA,NA
-101600,103550,-11.63,NA,NA,NA,NA
-101650,103600,-11.81,NA,NA,NA,NA
-101700,103650,-12.17,NA,NA,NA,NA
-101750,103700,-11.69,NA,NA,NA,NA
-101800,103750,-11.92,NA,NA,NA,NA
-101850,103800,-12.39,NA,NA,NA,NA
-102525,104475,NA,NA,NA,NA,NA
-103750,105700,-13.74,NA,NA,NA,NA
-103800,105750,-13.71,NA,NA,NA,NA
-103850,105800,-13.68,NA,NA,NA,NA
-103900,105850,-13.65,NA,NA,NA,NA
-103950,105900,-13.62,NA,NA,NA,NA
-104000,105950,-13.6,NA,NA,NA,NA
-104050,106000,-13.57,NA,NA,NA,NA
-104100,106050,-13.55,NA,NA,NA,NA
-104150,106100,-13.55,NA,NA,NA,NA
-104200,106150,-13.55,NA,NA,NA,NA
-104250,106200,-13.56,NA,NA,NA,NA
-104300,106250,-13.56,NA,NA,NA,NA
-104350,106300,-13.56,NA,NA,NA,NA
-104400,106350,-13.57,NA,NA,NA,NA
-104450,106400,-13.57,NA,NA,NA,NA
-104500,106450,-13.51,NA,NA,NA,NA
-104550,106500,-13.45,NA,NA,NA,NA
-104600,106550,-13.38,NA,NA,NA,NA
-104650,106600,-13.32,NA,NA,NA,NA
-104700,106650,-13.25,NA,NA,NA,NA
-104750,106700,-13.19,NA,NA,NA,NA
-104800,106750,-13.12,NA,NA,NA,NA
-104850,106800,-13.12,NA,NA,NA,NA
-104900,106850,-13.2,NA,NA,NA,NA
-104950,106900,-13.29,NA,NA,NA,NA
-105000,106950,-13.37,NA,NA,NA,NA
-105050,107000,-13.45,NA,NA,NA,NA
-105100,107050,-13.53,NA,NA,NA,NA
-105150,107100,-13.61,NA,NA,NA,NA
-105200,107150,-13.7,NA,NA,NA,NA
-105250,107200,-13.78,NA,NA,NA,NA
-105300,107250,-13.87,NA,NA,NA,NA
-105350,107300,-13.95,NA,NA,NA,NA
-105400,107350,-14.04,NA,NA,NA,NA
-105450,107400,-14.13,NA,NA,NA,NA
-105500,107450,-14.21,NA,NA,NA,NA
-105550,107500,-14.3,NA,NA,NA,NA
-105600,107550,-14.46,NA,NA,NA,NA
-105650,107600,-14.66,NA,NA,NA,NA
-105700,107650,-14.86,NA,NA,NA,NA
-105750,107700,-15.06,NA,NA,NA,NA
-105800,107750,-15.26,NA,NA,NA,NA
-105850,107800,-15.46,NA,NA,NA,NA
-105900,107850,-15.66,NA,NA,NA,NA
-105950,107900,-15.81,NA,NA,NA,NA
-106000,107950,-15.82,NA,NA,NA,NA
-106050,108000,-15.84,NA,NA,NA,NA
-106100,108050,-15.85,NA,NA,NA,NA
-106150,108100,-15.86,NA,NA,NA,NA
-106200,108150,-15.87,NA,NA,NA,NA
-106250,108200,-15.89,NA,NA,NA,NA
-106300,108250,-15.9,NA,NA,NA,NA
-106350,108300,-15.86,NA,NA,NA,NA
-106400,108350,-15.82,NA,NA,NA,NA
-106450,108400,-15.77,NA,NA,NA,NA
-106500,108450,-15.73,NA,NA,NA,NA
-106550,108500,-15.68,NA,NA,NA,NA
-106600,108550,-15.64,NA,NA,NA,NA
-106650,108600,-15.59,NA,NA,NA,NA
-106700,108650,-15.53,NA,NA,NA,NA
-106750,108700,-15.46,NA,NA,NA,NA
-106800,108750,-15.39,NA,NA,NA,NA
-106850,108800,-15.32,NA,NA,NA,NA
-106900,108850,-15.25,NA,NA,NA,NA
-106950,108900,-15.18,NA,NA,NA,NA
-107000,108950,-15.11,NA,NA,NA,NA
-107050,109000,-15.04,NA,NA,NA,NA
-107100,109050,-15.01,NA,NA,NA,NA
-107150,109100,-14.98,NA,NA,NA,NA
-107200,109150,-14.95,NA,NA,NA,NA
-107250,109200,-14.91,NA,NA,NA,NA
-107300,109250,-14.88,NA,NA,NA,NA
-107350,109300,-14.85,NA,NA,NA,NA
-107400,109350,-14.82,NA,NA,NA,NA
-107450,109400,-14.83,NA,NA,NA,NA
-107500,109450,-14.86,NA,NA,NA,NA
-107550,109500,-14.9,NA,NA,NA,NA
-107600,109550,-14.93,NA,NA,NA,NA
-107650,109600,-14.96,NA,NA,NA,NA
-107700,109650,-14.99,NA,NA,NA,NA
-107750,109700,-15.03,NA,NA,NA,NA
-107800,109750,-15.03,NA,NA,NA,NA
-107850,109800,-14.94,NA,NA,NA,NA
-107900,109850,-14.86,NA,NA,NA,NA
-107950,109900,-14.77,NA,NA,NA,NA
-108000,109950,-14.68,NA,NA,NA,NA
-108050,110000,-14.59,NA,NA,NA,NA
-108100,110050,-14.5,NA,NA,NA,NA
-108150,110100,-14.4,NA,NA,NA,NA
-108200,110150,-14.39,NA,NA,NA,NA
-108250,110200,-14.4,NA,NA,NA,NA
-108300,110250,-14.41,NA,NA,NA,NA
-108350,110300,-14.41,NA,NA,NA,NA
-108400,110350,-14.42,NA,NA,NA,NA
-108450,110400,-14.43,NA,NA,NA,NA
-108500,110450,-14.44,NA,NA,NA,NA
-108550,110500,-14.44,NA,NA,NA,NA
-108600,110550,-14.43,NA,NA,NA,NA
-108650,110600,-14.42,NA,NA,NA,NA
-108700,110650,-14.41,NA,NA,NA,NA
-108750,110700,-14.41,NA,NA,NA,NA
-108800,110750,-14.4,NA,NA,NA,NA
-108850,110800,-14.39,NA,NA,NA,NA
-108900,110850,-14.38,NA,NA,NA,NA
-108950,110900,-14.41,NA,NA,NA,NA
-109000,110950,-14.44,NA,NA,NA,NA
-109050,111000,-14.47,NA,NA,NA,NA
-109100,111050,-14.5,NA,NA,NA,NA
-109150,111100,-14.52,NA,NA,NA,NA
-109200,111150,-14.55,NA,NA,NA,NA
-109250,111200,-14.58,NA,NA,NA,NA
-109300,111250,-14.61,NA,NA,NA,NA
-109350,111300,-14.65,NA,NA,NA,NA
-109400,111350,-14.69,NA,NA,NA,NA
-109450,111400,-14.73,NA,NA,NA,NA
-109500,111450,-14.77,NA,NA,NA,NA
-109550,111500,-14.8,NA,NA,NA,NA
-109600,111550,-14.84,NA,NA,NA,NA
-109650,111600,-14.85,NA,NA,NA,NA
-109700,111650,-14.78,NA,NA,NA,NA
-109750,111700,-14.71,NA,NA,NA,NA
-109800,111750,-14.64,NA,NA,NA,NA
-109850,111800,-14.57,NA,NA,NA,NA
-109900,111850,-14.5,NA,NA,NA,NA
-109950,111900,-14.43,NA,NA,NA,NA
-110000,111950,-14.36,NA,NA,NA,NA
-110050,112000,-14.36,NA,NA,NA,NA
-110100,112050,-14.38,NA,NA,NA,NA
-110150,112100,-14.41,NA,NA,NA,NA
-110200,112150,-14.43,NA,NA,NA,NA
-110250,112200,-14.46,NA,NA,NA,NA
-110300,112250,-14.48,NA,NA,NA,NA
-110350,112300,-14.51,NA,NA,NA,NA
-110400,112350,-14.51,NA,NA,NA,NA
-110450,112400,-14.47,NA,NA,NA,NA
-110500,112450,-14.43,NA,NA,NA,NA
-110550,112500,-14.39,NA,NA,NA,NA
-110600,112550,-14.35,NA,NA,NA,NA
-110650,112600,-14.31,NA,NA,NA,NA
-110700,112650,-14.27,NA,NA,NA,NA
-110750,112700,-14.24,NA,NA,NA,NA
-110800,112750,-14.26,NA,NA,NA,NA
-110850,112800,-14.28,NA,NA,NA,NA
-110900,112850,-14.3,NA,NA,NA,NA
-110950,112900,-14.32,NA,NA,NA,NA
-111000,112950,-14.35,NA,NA,NA,NA
-111050,113000,-14.37,NA,NA,NA,NA
-111100,113050,-14.39,NA,NA,NA,NA
-111150,113100,-14.44,NA,NA,NA,NA
-111200,113150,-14.5,NA,NA,NA,NA
-111250,113200,-14.57,NA,NA,NA,NA
-111300,113250,-14.63,NA,NA,NA,NA
-111350,113300,-14.69,NA,NA,NA,NA
-111400,113350,-14.76,NA,NA,NA,NA
-111450,113400,-14.82,NA,NA,NA,NA
-111500,113450,-14.87,NA,NA,NA,NA
-111550,113500,-14.84,NA,NA,NA,NA
-111600,113550,-14.8,NA,NA,NA,NA
-111650,113600,-14.77,NA,NA,NA,NA
-111700,113650,-14.74,NA,NA,NA,NA
-111750,113700,-14.7,NA,NA,NA,NA
-111800,113750,-14.67,NA,NA,NA,NA
-111850,113800,-14.64,NA,NA,NA,NA
-111900,113850,-14.58,NA,NA,NA,NA
-111950,113900,-14.52,NA,NA,NA,NA
-112000,113950,-14.46,NA,NA,NA,NA
-112050,114000,-14.4,NA,NA,NA,NA
-112100,114050,-14.34,NA,NA,NA,NA
-112150,114100,-14.28,NA,NA,NA,NA
-112200,114150,-14.22,NA,NA,NA,NA
-112250,114200,-14.17,NA,NA,NA,NA
-112300,114250,-14.11,NA,NA,NA,NA
-112350,114300,-14.05,NA,NA,NA,NA
-112400,114350,-14,NA,NA,NA,NA
-112450,114400,-13.94,NA,NA,NA,NA
-112500,114450,-13.89,NA,NA,NA,NA
-112550,114500,-13.83,NA,NA,NA,NA
-112600,114550,-13.78,NA,NA,NA,NA
-112650,114600,-13.75,NA,NA,NA,NA
-112700,114650,-13.73,NA,NA,NA,NA
-112750,114700,-13.7,NA,NA,NA,NA
-112800,114750,-13.68,NA,NA,NA,NA
-112850,114800,-13.65,NA,NA,NA,NA
-112900,114850,-13.63,NA,NA,NA,NA
-112950,114900,-13.6,NA,NA,NA,NA
-113000,114950,-13.61,NA,NA,NA,NA
-113050,115000,-13.65,NA,NA,NA,NA
-113100,115050,-13.69,NA,NA,NA,NA
-113150,115100,-13.72,NA,NA,NA,NA
-113200,115150,-13.76,NA,NA,NA,NA
-113250,115200,-13.8,NA,NA,NA,NA
-113300,115250,-13.83,NA,NA,NA,NA
-113350,115300,-13.88,NA,NA,NA,NA
-113400,115350,-13.99,NA,NA,NA,NA
-113450,115400,-14.11,NA,NA,NA,NA
-113500,115450,-14.05,NA,NA,NA,NA
-113550,115500,-13.99,NA,NA,NA,NA
-113600,115550,-14.23,NA,NA,NA,NA
-113650,115600,-14.53,NA,NA,NA,NA
-113700,115650,-14.55,NA,NA,NA,NA
-113750,115700,-14.44,NA,NA,NA,NA
-113800,115750,-14.22,NA,NA,NA,NA
-113850,115800,-13.92,NA,NA,NA,NA
-113900,115850,-13.82,NA,NA,NA,NA
-113950,115900,-14.06,NA,NA,NA,NA
-114000,115950,-14.15,NA,NA,NA,NA
-114050,116000,-13.69,NA,NA,NA,NA
-114100,116050,-13.25,NA,NA,NA,NA
-114150,116100,-13.34,NA,NA,NA,NA
-114200,116150,-13.43,NA,NA,NA,NA
-114250,116200,-13.29,NA,NA,NA,NA
-114300,116250,-13.12,NA,NA,NA,NA
-114350,116300,-13.27,NA,NA,NA,NA
-114400,116350,-13.54,NA,NA,NA,NA
-114450,116400,-13.67,NA,NA,NA,NA
-114500,116450,-13.7,NA,NA,NA,NA
-114550,116500,-13.69,NA,NA,NA,NA
-114600,116550,-13.63,NA,NA,NA,NA
-114650,116600,-13.62,NA,NA,NA,NA
-114700,116650,-13.74,NA,NA,NA,NA
-114750,116700,-13.87,NA,NA,NA,NA
-114800,116750,-14.06,NA,NA,NA,NA
-114850,116800,-14.25,NA,NA,NA,NA
-114900,116850,-14.2,NA,NA,NA,NA
-114950,116900,-14.15,NA,NA,NA,NA
-115000,116950,-14.12,NA,NA,NA,NA
-115050,117000,-14.1,NA,NA,NA,NA
-115100,117050,-14.1,NA,NA,NA,NA
-115150,117100,-14.11,NA,NA,NA,NA
-115200,117150,-14.12,NA,NA,NA,NA
-115250,117200,-14.12,NA,NA,NA,NA
-115300,117250,-14.13,NA,NA,NA,NA
-115350,117300,-14.14,NA,NA,NA,NA
-115400,117350,-14.15,NA,NA,NA,NA
-115450,117400,-14.16,NA,NA,NA,NA
-115500,117450,-14.17,NA,NA,NA,NA
-115550,117500,-14.18,NA,NA,NA,NA
-115600,117550,-14.18,NA,NA,NA,NA
-115650,117600,-14.19,NA,NA,NA,NA
-115700,117650,-14.2,NA,NA,NA,NA
-115750,117700,-14.21,NA,NA,NA,NA
-115800,117750,-14.22,NA,NA,NA,NA
-115850,117800,-14.23,NA,NA,NA,NA
-115900,117850,-14.22,NA,NA,NA,NA
-115950,117900,-14.22,NA,NA,NA,NA
-116000,117950,-14.21,NA,NA,NA,NA
-116050,118000,-14.2,NA,NA,NA,NA
-116100,118050,-14.2,NA,NA,NA,NA
-116150,118100,-14.19,NA,NA,NA,NA
-116200,118150,-14.19,NA,NA,NA,NA
-116250,118200,-14.18,NA,NA,NA,NA
-116300,118250,-14.17,NA,NA,NA,NA
-116350,118300,-14.17,NA,NA,NA,NA
-116400,118350,-14.16,NA,NA,NA,NA
-116450,118400,-14.16,NA,NA,NA,NA
-116500,118450,-14.15,NA,NA,NA,NA
-116550,118500,-14.15,NA,NA,NA,NA
-116600,118550,-14.14,NA,NA,NA,NA
-116650,118600,-14.13,NA,NA,NA,NA
-116700,118650,-14.11,NA,NA,NA,NA
-116750,118700,-14.09,NA,NA,NA,NA
-116800,118750,-14.07,NA,NA,NA,NA
-116850,118800,-14.05,NA,NA,NA,NA
-116900,118850,-14.03,NA,NA,NA,NA
-116950,118900,-14.01,NA,NA,NA,NA
-117000,118950,-13.99,NA,NA,NA,NA
-117050,119000,-13.97,NA,NA,NA,NA
-117100,119050,-13.96,NA,NA,NA,NA
-117150,119100,-13.94,NA,NA,NA,NA
-117200,119150,-13.92,NA,NA,NA,NA
-117250,119200,-13.9,NA,NA,NA,NA
-117300,119250,-13.88,NA,NA,NA,NA
-117350,119300,-13.87,NA,NA,NA,NA
-117400,119350,-13.84,NA,NA,NA,NA
-117450,119400,-13.76,NA,NA,NA,NA
-117500,119450,-13.67,NA,NA,NA,NA
-117550,119500,-13.58,NA,NA,NA,NA
-117600,119550,-13.5,NA,NA,NA,NA
-117650,119600,-13.41,NA,NA,NA,NA
-117700,119650,-13.32,NA,NA,NA,NA
-117750,119700,-13.24,NA,NA,NA,NA
-117800,119750,-13.15,NA,NA,NA,NA
-117850,119800,-13.06,NA,NA,NA,NA
-117900,119850,-12.98,NA,NA,NA,NA
-117950,119900,-12.89,NA,NA,NA,NA
-118000,119950,-12.81,NA,NA,NA,NA
-118050,120000,-12.72,NA,NA,NA,NA
-118100,120050,-12.63,NA,NA,NA,NA
-118150,120100,-12.55,NA,NA,NA,NA
-118200,120150,-12.49,NA,NA,NA,NA
-118250,120200,-12.46,NA,NA,NA,NA
-118300,120250,-12.43,NA,NA,NA,NA
-118350,120300,-12.39,NA,NA,NA,NA
-118400,120350,-12.36,NA,NA,NA,NA
-118450,120400,-12.33,NA,NA,NA,NA
-118500,120450,-12.3,NA,NA,NA,NA
-118550,120500,-12.27,NA,NA,NA,NA
-118600,120550,-12.23,NA,NA,NA,NA
-118650,120600,-12.2,NA,NA,NA,NA
-118700,120650,-12.17,NA,NA,NA,NA
-118750,120700,-12.14,NA,NA,NA,NA
-118800,120750,-12.11,NA,NA,NA,NA
-118850,120800,-12.07,NA,NA,NA,NA
-118900,120850,-12.04,NA,NA,NA,NA
-118950,120900,-12.01,NA,NA,NA,NA
-119000,120950,-12,NA,NA,NA,NA
-119050,121000,-11.98,NA,NA,NA,NA
-119100,121050,-11.97,NA,NA,NA,NA
-119150,121100,-11.95,NA,NA,NA,NA
-119200,121150,-11.94,NA,NA,NA,NA
-119250,121200,-11.93,NA,NA,NA,NA
-119300,121250,-11.91,NA,NA,NA,NA
-119350,121300,-11.9,NA,NA,NA,NA
-119400,121350,-11.89,NA,NA,NA,NA
-119450,121400,-11.87,NA,NA,NA,NA
-119500,121450,-11.86,NA,NA,NA,NA
-119550,121500,-11.84,NA,NA,NA,NA
-119600,121550,-11.83,NA,NA,NA,NA
-119650,121600,-11.81,NA,NA,NA,NA
-119700,121650,-11.8,NA,NA,NA,NA
-119750,121700,-11.79,NA,NA,NA,NA
-119800,121750,-11.78,NA,NA,NA,NA
-119850,121800,-11.77,NA,NA,NA,NA
-119900,121850,-11.77,NA,NA,NA,NA
-119950,121900,-11.76,NA,NA,NA,NA
-120000,121950,-11.75,NA,NA,NA,NA
-120050,122000,-11.74,NA,NA,NA,NA
-120100,122050,-11.73,NA,NA,NA,NA
-120150,122100,-11.73,NA,NA,NA,NA
-120200,122150,-11.72,NA,NA,NA,NA
-120250,122200,-11.71,NA,NA,NA,NA
-120300,122250,-11.7,NA,NA,NA,NA
-120350,122300,-11.7,NA,NA,NA,NA
-120400,122350,-11.69,NA,NA,NA,NA
-120450,122400,-11.68,NA,NA,NA,NA
-120500,122450,-11.67,NA,NA,NA,NA
-120550,122500,-11.69,NA,NA,NA,NA
-120600,122550,-11.71,NA,NA,NA,NA
-120650,122600,-11.73,NA,NA,NA,NA
-120700,122650,-11.75,NA,NA,NA,NA
-120750,122700,-11.77,NA,NA,NA,NA
-120800,122750,-11.79,NA,NA,NA,NA
-120850,122800,-11.81,NA,NA,NA,NA
-120900,122850,-11.84,NA,NA,NA,NA
-120950,122900,-11.86,NA,NA,NA,NA
-121000,122950,-11.88,NA,NA,NA,NA
-121050,123000,-11.9,NA,NA,NA,NA
-121100,123050,-11.92,NA,NA,NA,NA
-121150,123100,-11.94,NA,NA,NA,NA
-121200,123150,-11.96,NA,NA,NA,NA
-121250,123200,-11.98,NA,NA,NA,NA
-121300,123250,-11.95,NA,NA,NA,NA
-121350,123300,-11.88,NA,NA,NA,NA
-121400,123350,-11.8,NA,NA,NA,NA
-121450,123400,-11.73,NA,NA,NA,NA
-121500,123450,-11.66,NA,NA,NA,NA
-121550,123500,-11.58,NA,NA,NA,NA
-121600,123550,-11.51,NA,NA,NA,NA
-121650,123600,-11.43,NA,NA,NA,NA
-121700,123650,-11.36,NA,NA,NA,NA
-121750,123700,-11.29,NA,NA,NA,NA
