d18O (permil),year (AD),d18O (permil),d18O (permil),d18O (permil),d18O (permil),d18O (permil),d18O (permil),d18O (permil)
25.62,1969,24.42,25.13,24.92,NA,24.97,23.88,0.5662341
24.95,1970,24.21,23.11,24.94,NA,25.06,22.52,-0.123611
21.71,1971,23.95,23.11,23.99,NA,23.1,21.84,-1.249547
23.82,1972,24.62,25.02,24.64,NA,25.21,25.24,0.5162901
23.75,1973,23.08,23.63,24.65,NA,23.55,21.81,-0.837938
23.86,1974,24.35,22.93,24.26,NA,24.11,22.69,-0.548673
23.95,1975,24.18,23.27,24.62,NA,22.99,24.29,-0.350503
24.47,1976,25.14,24.74,24.84,NA,24.54,22.45,0.1773909
24.42,1977,24.55,24.07,25.45,NA,23.4,24.75,0.2509582
22.77,1978,24.19,24.09,25.61,NA,25.05,22.54,-0.121976
24.8,1979,24.97,24.09,24.91,NA,24.73,24.36,0.416688
24.95,1980,25.61,24.63,26.39,NA,25.64,24.54,1.151752
24.44,1981,24.26,23.13,24.39,NA,23.01,22.7,-0.58103
24.25,1982,25.17,23.22,24.79,NA,25.01,24.22,0.218007
26.86,1983,25.43,25.22,26.35,NA,25.49,24.14,1.398855
24.18,1984,25.64,24.14,24.85,NA,25.25,23.58,0.4191125
23.26,1985,25.27,23.94,25.58,NA,24.75,23.21,0.1960243
25.84,1986,25.44,24.65,23.97,NA,24.27,22.92,0.2658272
23.48,1987,26.68,26,25.99,NA,25.96,24.92,1.421576
24.14,1988,24.86,23.73,25.24,NA,23.12,21.5,-0.379226
22.55,1989,23.17,23.51,24.48,NA,23.72,22.65,-0.893408
24.12,1990,24.01,24.41,23.88,NA,24.34,23.34,-0.265187
26.28,1991,25.18,24.55,26.08,NA,25.67,25.58,1.339316
26.52,1992,26.23,24.63,26.65,NA,25.38,25.7,1.702768
25.89,1993,24.99,24.67,26.06,NA,25.43,24.42,1.042465
24.94,1994,25.15,23.8,24.87,NA,24.58,24.08,0.3478907
25.26,1995,24.72,23.64,24.67,NA,24.68,24.82,0.3629738
23.14,1996,25.03,22.94,24.72,NA,23.42,23.25,-0.424776
24.01,1997,24.52,25.4,25.24,NA,25.54,23.31,0.4698295
25.45,1998,24.12,25.44,25.96,NA,26.46,23.85,0.9788746
23.53,1999,24.56,22.26,24.38,NA,23.51,22.03,-0.835937
23.47,2000,24.66,22.5,23.79,NA,23.67,22.8,-0.765357
23.59,2001,24.48,23.33,25.08,NA,23.27,23.13,-0.368749
25.57,2002,26.57,24.35,25.2,NA,25.32,25.26,1.195906
